"genus"	"species"	"latitude"	"longitude"	"source"
"Megalechis"	"Megalechis thoracata"	-1.4661	-48.3814	"splink"
"Callichthys"	"Callichthys callichthys"	-2.4686	-44.1096	"splink"
"Callichthys"	"Callichthys callichthys"	-2.4686	-44.1096	"splink"
"Corydoras"	"Corydoras paleatus"	-31.3063	-50.9696	"splink"
"Hoplosternum"	"Hoplosternum littorale"	-31.3063	-50.9696	"splink"
"Aspidoras"	"Aspidoras"	-15.16198	-43.029353	"splink"
"Aspidoras"	"Aspidoras microgaleus"	-13.285317	-52.249921	"splink"
"Brochis"	"Brochis coeruleus"	-3.710713	-73.233832	"splink"
"Brochis"	"Brochis coeruleus"	-3.721248	-73.280267	"splink"
"Brochis"	"Brochis coeruleus"	-3.252057	-72.273076	"splink"
"Brochis"	"Brochis coeruleus"	-3.252057	-72.273076	"splink"
"Brochis"	"Brochis dipterus"	-3.248339	-72.270473	"splink"
"Brochis"	"Brochis splendens"	-3.789997	-73.248509	"splink"
"Callichthys"	"Callichthys"	-26.872823	-56.977691	"splink"
"Callichthys"	"Callichthys asper"	-3.322622	-71.863359	"splink"
"Callichthys"	"Callichthys callichthys"	-24.127126	-56.6573	"splink"
"Callichthys"	"Callichthys callichthys"	-24.316667	-57.116667	"splink"
"Callichthys"	"Callichthys callichthys"	-24.127126	-56.6573	"splink"
"Callichthys"	"Callichthys callichthys"	0.065772	-77.003797	"splink"
"Callichthys"	"Callichthys callichthys"	0.062774	-77.126413	"splink"
"Callichthys"	"Callichthys callichthys"	0.062774	-77.126413	"splink"
"Callichthys"	"Callichthys callichthys"	-1.403323	-61.830572	"splink"
"Callichthys"	"Callichthys callichthys"	-3.87933	-73.491528	"splink"
"Callichthys"	"Callichthys callichthys"	-25.193537	-57.629433	"splink"
"Callichthys"	"Callichthys callichthys"	-25.475905	-56.170027	"splink"
"Callichthys"	"Callichthys callichthys"	-27.39098	-56.84794	"splink"
"Callichthys"	"Callichthys callichthys"	-26.875465	-56.985527	"splink"
"Callichthys"	"Callichthys callichthys"	5.572732	-60.15	"splink"
"Callichthys"	"Callichthys callichthys"	4.886815	-59.197693	"splink"
"Callichthys"	"Callichthys callichthys"	-3.558111	-51.763694	"splink"
"Callichthys"	"Callichthys callichthys"	-4.445262	-73.460976	"splink"
"Callichthys"	"Callichthys callichthys"	-4.445262	-73.460976	"splink"
"Callichthys"	"Callichthys callichthys"	-4.513996	-73.573174	"splink"
