datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2011-09-27 17:18:56-03"	UFPA	OBIS_BR	42	"Megalechis thoracata"	S	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Megalechis	thoracata		"(Valenciennes, 1840)"														"South Atlantic"	Brazil	Para	Belem	"Guajara Bay"	-48.3814	-1.4661															"Collected in creek locations of Guajara Bay. Species not found in WORMS."	
"2011-11-17 09:01:39-02"	UFMA	OBIS_BR	33	"Callichthys callichthys"	S	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Callichthys	callichthys		"(Linnaeus, 1758)"							IC							"South Atlantic"	Brazil	Maranhao		"Paciencia River estuary"	-44.1096	-2.4686															"Species not found in: WoRMS"	
"2011-09-27 17:18:55-03"	UFMA	OBIS_BR	33	"Callichthys callichthys"	S	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Callichthys	callichthys		"(Linnaeus, 1758)"							IC							"South Atlantic"	Brazil	Maranhao		"Paciencia River estuary"	-44.1096	-2.4686															"Species not found in: WoRMS"	
"2013-11-01 15:09:34-02"	FURG	OBIS_BR	31	"Corydoras paleatus"	S	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Corydoras	paleatus		"(Jenyns, 1842)"														"South Atlantic"	Brazil				-50.9696	-31.3063											5					
"2013-11-01 15:09:34-02"	FURG	OBIS_BR	19	"Hoplosternum littorale"	S	Animalia	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Hoplosternum	littorale		"(Hancock, 1828)"														"South Atlantic"	Brazil				-50.9696	-31.3063											2					
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	172094	Aspidoras	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Aspidoras				"Roberto E. Reis,1994"						SAS93-29	"S.A. Schaefer, W.G. Saul, R.E. Reis, E.H.L. Pereira, J.F. Pezzi de Silva, A.S. Soares"	1993	07	19		01:01		Brazil	"Minas Gerais"		"Arroio at Cana Brava, trib. Rio Verde Grande, 13.0 km W of Monte Azul towards Jaíba."	-43.029353	-15.16198							0	1		"seine,hoop nets [18 alc; 0 sk; 0 c&s]"	18				"Identif.Remarks: 18 specimens to MCP, 6 to Garavello. Location Remarks: Coordinates by GPS. Water-clear;vegetation-emergents,moss,grasses; bottom-gravel,mud;current-moderate to swift. See FN.. Georef.Remarks: There is not enough details about the name of the stream, but i plotted the locality a tributary of the RIo Verde Grande (Corrego Seco) at 13 Km West of Monte Azul."	ANSP172094
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	187252	"Aspidoras microgaleus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Aspidoras	microgaleus									AXE2004101602	"O. Oyakawa, J.L. Birindelli, C. Moreira et al"							Brazil	"Mato Grosso"	Canarana	"Corrego Formoso, trib. Suia-Micu (Xingu Dr.), approx. 30km N of Canarana, rt. MT-109 (Canarana-Querencia), elev. 363m."	-52.249921	-13.285317										"[10 alc; 0 sk; 0 c&s]"	10	"MZUSP 86842"			"Location Remarks: ACSI AXE Expedition."	ANSP187252
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	115202	"Brochis coeruleus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	coeruleus			"J.E.Bohlke, 1969"						Z115202	"E.J. Hugghins"	1968	07	13		01:01		Peru			"Iquitos; market on Amazon."	-73.233832	-3.710713										"[1 alc; 0 sk; 0 c&s]"	1	64				ANSP115202
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	115203	"Brochis coeruleus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	coeruleus			"J.E.Bohlke, 1969"						P55-12	"C.C.G. Chaplin, M. Hohn, J. Henry [Catherwood Peru Expedition]"							Peru	Loreto		"Vicinity Iquitos, R. Nanay opposite naval base, backwater pools off coche (4 mi above Amazon)."	-73.280267	-3.721248										"[1 alc; 0 sk; 0 c&s]"	1					ANSP115203
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	8231	"Brochis coeruleus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	coeruleus			"E.D.Cope, 1872a:277"				Lectotype		JH-AR	"John Hauxwell"							Ecuador			"Ambyiacu River."	-72.273076	-3.252057										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: Fowler (1915a:232) listed 8231-8237 cotypes. = BROCHIS SPLENDENS (Castelnau), Lectotype designated in Nijssen & Isbrucker (1970:157) Location Remarks: E.D. Cope collection. Georef.Remarks: The name of the river is Ampiyacu, there is no specific about where in the river were the specimens collected so I plotted the locality embracing the length of the river."	ANSP008231
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	8232	"Brochis coeruleus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	coeruleus			"E.D.Cope, 1872a:277"				Paralectotype		JH-AR	"John Hauxwell"							Ecuador			"Ambyiacu River."	-72.273076	-3.252057										"[6 alc; 0 sk; 0 c&s]"	6	"ANSP 8232-8237"			"Identif.Remarks: Fowler (1915a:232)listed 8231-8237 cotypes. = BROCHIS SPLENDENS (Castelnau),l'type design.Nijssen & Isbruckerb(1970:157) Location Remarks: E.D. Cope collection. Georef.Remarks: The name of the river is Ampiyacu, there is no specific about where in the river were the specimens collected so I plotted the locality embracing the length of the river."	ANSP008232
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	117172	"Brochis dipterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	dipterus			"E.D.Cope, 1872a:278"				Holotype		Z117172	"John Hauxwell"							Peru			"Ambyiacu River."	-72.270473	-3.248339										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: Removed from ANSP 8231-8237, 7 syntypes of BROCHIS COERULEUS by Nijssen,1969; = BROCHIS SPLENDENS in Nijs&Isbr(1970:166) Location Remarks: E.D. Cope collection. Georef.Remarks: Polygon covers Rio Ampiyacu."	ANSP117172
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	180528	"Brochis splendens"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Brochis	splendens			"M.H. Sabaj, 2005"						"PERU 2003-03"	"M.H. Sabaj, N.J. Salcedo & B. Sidlauskas"							Peru	"Dept. Loreto"	"Prov. Maynas"	"Moena Cano & mouth of Ullpa Cano, a trib of Moena Cano (R. Itaya-Amazonas Dr.), just southeast of Belen, Iquitos."	-73.248509	-3.789997										"seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: seined mouth of Ullpa Cano and small patch of vegetation along bank of Moena Cano downstream from Ullpa mouth."	ANSP180528
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	169764	Callichthyidae	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthyidae				"M.W. Littmann/2001"						DF92-103	"D. Fromm"							Paraguay	Dept.Boqueron		"Pond (borrow pit) on N side of TransChaco Highway at km 464.1."	-61.117449	-21.646381										"[4 alc; 0 sk; 0 c&s]"	4				"Location Remarks: Coordinates approximate. Georef.Remarks: Polygon covers Trans Chacho road in Dep. Boqueron. Coordinates placed at center of polygon."	ANSP169764
