"genus"	"species"	"latitude"	"longitude"	"source"
"Lepidosiren"	"Lepidosiren paradoxa"	-24.655	-58.74	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-1.482585	-48.510439	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47744	-52.12666	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.83892	-52.30757	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.38712	-52.03641	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47744	-52.12666	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.83892	-52.30757	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47744	-52.12666	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47744	-52.12666	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.56803	-52.03667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	4.47758	-52.03654	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-12.196944	-64.588889	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-10.865833	-65.265833	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-11.604722	-65.226667	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-19.526222	-57.040694	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-4.224876	-69.946982	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-4.214546	-69.950573	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-4.214546	-69.950573	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.1875	-55.035833	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.165833	-59.912222	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.191472	-54.85775	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.186083	-55.039806	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.191472	-54.85775	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.191472	-54.85775	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.186083	-55.039806	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.046667	-64.856111	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.160556	-59.915833	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.165	-59.913611	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.165	-59.913611	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.165	-59.913611	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-3.357222	-60.916111	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	3.159444	-59.912222	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-5.161389	-60.687222	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-1.45	-48.5	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.705556	-60.202778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.705555	-60.202778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.705556	-60.202778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.86389	-58.886112	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.705555	-60.202778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-28.75	-64.75	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-28.75	-64.75	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-25.705556	-60.202778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.051205	-54.58187	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.112578	-55.06778	"gbif"
"Lepidosiren"	"Lepidosiren paradoxa"	-2.112578	-55.06778	"gbif"
