gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
2004955328									x																	br:UFMS:ZUFMS:ZUFMS-PIS05508										CC_BY_NC_4_0			2019-02-07T00:00:00Z																				UFMS	ZUFMS	não informado		PRESERVED_SPECIMEN	nenhuma			br:UFMS:ZUFMS:ZUFMS-PIS05508	ZUFMS-PIS05508	x	SOUZA, I. C.	2					indeterminado	não informado			lote de animais inteiros (ETOH 70%)	em coleção	x			x	mantidas em aquário				nenhum		x					x		x						01.III.2015	não informado	indeterminado				nenhuma	nenhuma				SOUTH_AMERICA	rio			BR	Mato Grosso do Sul	Corumbá	x	Baía Rasa	Alto Paraguai						descendo o Rio Paraguai								x																												x		SEVERO-NETO, F.	2017-01-01T00:00:00Z												Lepidosiren paradoxa Fitzinger, 1837	Lepidosiren paradoxa Fitzinger, 1837		x	William N. Eschmeyer and Jon David Fong, 2019				Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		x	ICZN	ACCEPTED			518eea27-3077-4de8-afc5-880d5414ad8e	BR	2019-02-20T19:17:21.810Z							COORDINATE_INVALID;RECORDED_DATE_MISMATCH		false	true	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-02-20T19:17:13.777Z	2019-02-20T19:17:13.663Z	true
1981060796		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 011965)																	urn:uuid:e9cfac21-4eb0-4e1e-a3eb-d8dbd863bb08									en	CC0_1_0			2018-10-15T15:13:10Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-011965					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578184"", ""original_num"": ""Osteo 8248 (ICH.O.08248)"" }"	urn:uuid:e9cfac21-4eb0-4e1e-a3eb-d8dbd863bb08	YPM ICH 011965			1									skeleton (skull only)					Osteo 8248 (ICH.O.08248)	ICH number 11965; lot count 1						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:32:01.459Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:32:01.447Z	2019-05-17T12:11:28.976Z	
1981060154		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 030149)																	urn:uuid:e46346b2-5787-4169-a8c4-b2e24f24322f									en	CC0_1_0			2018-10-15T15:13:37Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-030149					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578755"" }"	urn:uuid:e46346b2-5787-4169-a8c4-b2e24f24322f	YPM ICH 030149			1									skeleton (incomplete)						ICH number 30149; lot count 1; captive						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:32:00.638Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:32:00.618Z	2019-05-17T12:11:28.928Z	
1981059096		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 011980)																	urn:uuid:db7e5c0d-327b-439b-8adf-a68c39db058c									en	CC0_1_0			2018-12-31T13:43:50Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-011980					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""659344"", ""original_num"": ""Osteo 8367 (ICH.O.08367)"" }"	urn:uuid:db7e5c0d-327b-439b-8adf-a68c39db058c	YPM ICH 011980		Keith S. Thomson	1									skeleton (incomplete)		|			Osteo 8367 (ICH.O.08367)	ICH number 11980; lot count 1						Lepidosiren paradoxa|Lepidosiren																							South America	SOUTH_AMERICA																																																																		Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:32:00.863Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:32:00.851Z	2019-05-17T12:11:28.131Z	
1981056925		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 030143)																	urn:uuid:cbcbfb56-b011-4170-9c7a-134323b72005									en	CC0_1_0			2018-10-15T15:14:18Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-030143					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578749"" }"	urn:uuid:cbcbfb56-b011-4170-9c7a-134323b72005	YPM ICH 030143			1									skeleton (incomplete)						ICH number 30143; lot count 1; captive						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:32:00.376Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:32:00.369Z	2019-05-17T12:11:27.420Z	
1981051289		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 011835)																	urn:uuid:9413ef8f-b3db-4ea7-8936-2c9e1d797af7									en	CC0_1_0			2016-03-04T13:06:31Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-011835					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""original_num"": ""Osteo 1341 (ICH.O.01341)"" }"	urn:uuid:9413ef8f-b3db-4ea7-8936-2c9e1d797af7	YPM ICH 011835			1									cast					Osteo 1341 (ICH.O.01341)	ICH number 11835; lot count 1						Lepidosiren paradoxa																							South America	SOUTH_AMERICA																																																																		Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-01-07T23:25:15.990Z									false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-01-07T23:25:15.939Z	2019-05-17T12:11:26.122Z	
1981050573		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 030146)																	urn:uuid:9d8e13d0-5321-4cd4-a132-278bca70327a									en	CC0_1_0			2018-10-15T15:13:30Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-030146					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578752"" }"	urn:uuid:9d8e13d0-5321-4cd4-a132-278bca70327a	YPM ICH 030146			1									skeleton (incomplete)						ICH number 30146; lot count 1; captive						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:31:59.322Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:31:59.301Z	2019-05-17T12:11:26.695Z	
1981049673		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 030145)																	urn:uuid:939e97dc-ab1e-4687-b487-095117ff4dc2									en	CC0_1_0			2018-10-15T15:14:27Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-030145					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578751"" }"	urn:uuid:939e97dc-ab1e-4687-b487-095117ff4dc2	YPM ICH 030145			1									skeleton (incomplete)						ICH number 30145; lot count 1; captive						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:31:58.642Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:31:58.633Z	2019-05-17T12:11:26.267Z	
1981049568		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 011966)																	urn:uuid:84f1bc4d-4580-4447-b797-aff2946c13b6									en	CC0_1_0			2017-09-11T23:16:33Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-011966					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578185"", ""original_num"": ""Osteo 8249 (ICH.O.08249)"" }"	urn:uuid:84f1bc4d-4580-4447-b797-aff2946c13b6	YPM ICH 011966			1									skeleton					Osteo 8249 (ICH.O.08249)	ICH number 11966; lot count 1						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:31:58.479Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:31:58.469Z	2019-05-17T12:11:25.791Z	
1981047401		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Lepidosiren paradoxa (YPM ICH 030150)																	urn:uuid:73a6b539-0eaa-4d38-baba-3ec2c3d9cb40									en	CC0_1_0			2018-10-15T15:14:02Z			http://collections.peabody.yale.edu/search/Record/YPM-ICH-030150					Yale Peabody Museum of Natural History							PhysicalObject					YPM	VZ		YPM	PRESERVED_SPECIMEN			"{ ""mm_repository_id"": ""578756"" }"	urn:uuid:73a6b539-0eaa-4d38-baba-3ec2c3d9cb40	YPM ICH 030150			1									skeleton (incomplete)						ICH number 30150; lot count 1; captive						Lepidosiren paradoxa																																																																																										Lepidosiren paradoxa Fitzinger, 1837							Animalia; Chordata; Vertebrata; Gnathostomata-Teleostomi; Sarcopterygii; Porolepimorpha and Dipnoi-Dipnoi; Ceratodontimorpha; Lepidosireniformes; Lepidosirenidae	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren		paradoxa		SPECIES		South American lungfishes; vertebrates; chordates; animals	ICZN	ACCEPTED		Animals and Plants: Vertebrates - Fish	96419bea-f762-11e1-a439-00145eb45e9a	US	2019-04-12T09:31:57.326Z								STILLIMAGE	false	false	2441263	2441263	1	44	238	764	5868	2441262		2441263	Lepidosiren paradoxa	Lepidosiren	Lepidosiren paradoxa Fitzinger, 1837		DWC_ARCHIVE	2019-04-12T09:31:57.314Z	2019-05-17T12:11:25.153Z	
