datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	178113	"Lepidosiren paradoxa"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa			"M.H.Sabaj, 2001"						"PERU 2001-00A"	"M.H. Sabaj, M.W. Littmann, N.R. Lovejoy, J.G. Stewart, M. Thomas, S.S. Curran & K.A. Elkin."							Peru	Loreto		"Rio Amazonas Basin; purchased from ornamental fishermen in Iquitos (Belem)."	-73.253144	-3.755657										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: tissue sample: no tag."	ANSP178113
"2015-09-01 11:48:46-03"	ANSP	ANSP-ICHTHYOLOGY	181085	"Lepidosiren paradoxa"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa			"M.H. Sabaj, 2005"						"PERU 05-00B"	"M. H. Sabaj, M. C. Perez, M. Arce, A. Bullard et al"							Peru	"Dept. Loreto"	"Prov. Maynas"	"purchased from ornamental fishermen in Belen, Iquitos; reportedly from Rio Itaya & associated lagoons (Amazon Dr)."	-73.402298	-4.181624										"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: tissue sample: P6044. Georef.Remarks: Polygon covers Rio Itaya. Coordinates placed at mid-point."	ANSP181085
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	33	"Lepidosiren paradoxa"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa			H.W.Fowler						Z33	"Dr. W. Chapman"											0	0										"[1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: Date of presentation. No locality listed; presented by Chapman at same time as specimen from Atlantic City, N.J."	ANSP000033
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	73122	"Protopterus aethiopicus"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Protopterus	aethiopicus			"[Joseph Hyrtl]"						HYR-WN	"Joseph Hyrtl Collection"										"White Nile."	0	0										"[0 alc; 1 sk; 0 c&s]"	1	U.P.362			"Identif.Remarks: Mounted skeleton;male. Missing. Location Remarks: Purchased by E.D. Cope around 1865."	ANSP073122
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	78336	"Protopterus aethopicus"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Protopterus	aethopicus			"[Joseph Hyrtl]"						HYR-W.NILE	"Joseph Hyrtl Collection"										"White Nile."	0	0										"[0 alc; 1 sk; 0 c&s]"	1	U.P.363			"Identif.Remarks: Original lists in Hyrtl-Cope Collection folder. Female. Location Remarks: Purchased by E.D. Cope around 1865."	ANSP078336
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	180434	"Protopterus annectens"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Protopterus	annectens			"T. Daeschler, 2004"						Z180434											"No locality data (\"Kamongo\" received from ANSP Department of Vertebrate Zoology)."	0	0										"[0 alc; 1 sk; 0 c&s]"	1				"Identif.Remarks: pet \"Kamongo\" formerly kept in ANSP Dept. Vertebrate Zoology."	ANSP180434
"2015-09-01 11:04:32-03"	ANSP	ANSP-ICHTHYOLOGY	193118	"Protopterus annectens"	S	Animalia	Chordata	Dipneusti	Lepidosireniformes	Lepidosirenidae	Protopterus	annectens			"M.H. Sabaj, 2012"						Z193118								Unknown			"No data (ex. JGL teaching specimen)."	0	0										"[1 alc; 0 sk; 0 c&s]"	1	"ex. JGL teaching coll."				ANSP193118
"2016-11-24 15:42:30-02"	USP-RP	LIRP	1096	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Luiz Martins"	2001	04	23			LSFM990511	"Luis Martins"	1999	05	11			"America do Sul"	Brasil	"Estado de Mato Grosso"	Cuiaba	"Ponte do Rio Cuiabá, Rio Cuiabá (entre municípios de Cuiabá e Varzea Grande)"	0	0	-56.0966987609863	-15.5960998535156	74875								9					
"2016-11-24 15:42:30-02"	USP-RP	LIRP	14034	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Jansen Zuanon"	2013	06	19			doação_inpa042013	"F. Fonseca"	2013	06	04			"America do Sul"	Brasil	"Estado do Amazonas"	Iranduba	"Rio Negro, Ponta do Catalão"	-59.9158333333	-3.1605555556										SEINE	5					
"2016-11-24 15:42:30-02"	USP-RP	LIRP	4391	"Lepidosiren paradoxa"	S	Animalia	Chordata	Sarcopterygii	Lepidosireniformes	Lepidosirenidae	Lepidosiren	paradoxa		"Fitzinger, 1837"	"Alex Melo"	2003	06	24			LSF2003a	"Luis Martins"	2003	06	25			"America do Sul"	Brasil	"Estado de Mato Grosso"	Cuiaba	"Ponte do Rio Cuiabá, Rio Cuiabá (entre municípios de Cuiabá e Varzea Grande)"	0	0	-56.0966987609863	-15.5960998535156	74875								6					
