Family	Taxon	Environment	Castillo	La Venta	Makaraipao	Castilletes marine	Loyola Mangan	Rio Acre	Solimoes Pebas	Urumaco	Utuquina	Pirabas	Cantaure	Ituzaingo	Rio Yuca	Fitzcarrald	Contamana	Reference
Acregoliathidae	Acregoliath	Freshwater	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	\citet{Ballen2019a,Lundberg2010b,Tejada-Lara2015}
Arapaimidae	Arapaima	Freshwater	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Anostomidae	Leporinus	Freshwater	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	\citet{Antoine2016,Bogan2012,Lundberg2010b}
Characidae	Salminus	Freshwater	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	\citet{Cione2013}
Serrasalmidae	Colossoma	Freshwater	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	\citet{Cione2000,Lundberg2010b}
Serrasalmidae	Megapiranha	Freshwater	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	\citet{Cione2009}
Serrasalmidae	Mylossoma	Freshwater	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Serrasalmidae	Piaractus	Freshwater	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Cynodontidae	Hydrolycus	Freshwater	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	\citet{Antoine2016,Cione2000,Lundberg2010b,Tejada-Lara2015}
Erythrinidae	Paleohoplias	Freshwater	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Erythrinidae	Hoplias	Freshwater	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Callichthyidae	Hoplosternum	Freshwater	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Loricariidae	Acanthicus	Freshwater	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Doradidae	Doraops	Freshwater	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Doradidae	Doras	Freshwater	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Doradidae	Oxydoras	Freshwater	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	\citet{Lundberg2010b}
Doradidae	Rhinodoras	Freshwater	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Pimelodidae	Brachyplatystoma	Freshwater	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Aguilera2013d,Lundberg2010b}
Pimelodidae	Phractocephalus	Freshwater	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	\citet{Antoine2016,Azpelicueta2016,Lundberg2010b,Tejada-Lara2015}
Pimelodidae	Platysilurus	Freshwater	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	\citet{Lundberg2010b}
Pimelodidae	Zungaro	Freshwater	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Ariidae	Amphiarius	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Ariidae	Aspistor	Both	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Ariidae	Bagre	Marine	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	\citet{Aguilera2013a,Lundberg2010b}
Ariidae	Cathorops	Marine	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	\citet{Aguilera2013a}
Ariidae	Cantarius	Marine	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	\citet{Aguilera2013a}
Ariidae	Notarius	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Ariidae	Sciades	Both	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Ctenosciaena	Marine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Cynoscion	Both	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Equetus	Marine	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Larimus	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Micropogonias	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Nebris	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Ophioscion	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Pachypops	Freshwater	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Paralonchurus	Marine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Plagioscion	Freshwater	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Protosciaena	Marine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sciaenidae	Xenotolithus	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Serranidae	Epinephelus	Marine	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Sphyraenidae	Sphyraena	Marine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Scombridae	Acanthocybium	Marine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\citet{Lundberg2010b}
Lepidosirenidae	Lepidosiren	Freshwater	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	\citet{Antoine2016,Lundberg2010b,Tejada-Lara2015}
