gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1990579097																										19850505										CC_BY_NC_4_0			2019-01-25T01:40:41Z			https://www.inaturalist.org/observations/19850505				© vireolanius some rights reserved	vireolanius												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/19850505	19850505		vireolanius																												2019-01-11T06:00:52Z	14:00:52Z			2019	1	11	Fri Jan 11 2019 06:00:52 GMT-0800 (PST)															BR	Amazonas				Palmarí, Brazil							-4.289181	-70.293757																																	43821926				2019-01-24T23:32:02Z				322822								Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-03-19T21:08:54.449Z							GEODETIC_DATUM_ASSUMED_WGS84	STILLIMAGE	true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2019-03-19T21:01:15.501Z	2019-05-20T15:20:43.027Z	false
1950896456																										IAvH:CBB:VICHADA:HIDROBIOLOGICOS:OBSERVACIONHUMANA:I2D-BIO_2017_069:034										CC_BY_NC_4_0																							Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)			HUMAN_OBSERVATION				IAvH:CBB:VICHADA:HIDROBIOLOGICOS:OBSERVACIONHUMANA:I2D-BIO_2017_069:034			Roamir Unda								NATIVE								Sin voucher												2017-04-02T00:00:00Z	21:30			2017	4	2		Playa	Calandrio					TP-74					Río Tomo, vertiente cuenca del Orinoco			CO	Vichada	Puerto Carreño		Río Tomo playa diagonal al campamento, margen derecha								5.557861	-68.469472				grados minutos segundos	WGS84																															Lina Mesa	2017-04-02T00:00:00Z												Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			56dbf6cd-a106-4afb-9ba4-37f2f3c20acf	CO	2018-12-17T19:49:36.019Z	150.0	0.0					COORDINATE_ROUNDED		true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-12-17T19:49:36.011Z	2018-12-17T19:49:36.003Z	true
1950896319																										IAvH:CBB:VICHADA:HIDROBIOLOGICOS:OBSERVACIONHUMANA:I2D-BIO_2017_069:005										CC_BY_NC_4_0																							Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)			HUMAN_OBSERVATION			Muestra de tejido: Si	IAvH:CBB:VICHADA:HIDROBIOLOGICOS:OBSERVACIONHUMANA:I2D-BIO_2017_069:005		179	Roamir Unda		1	Individuo					NATIVE								Sin voucher												2017-04-02T00:00:00Z	21:30			2017	4	2		Playa	Calandrio					TP-74					Río Tomo, vertiente cuenca del Orinoco			CO	Vichada	Puerto Carreño		Río Tomo playa diagonal al campamento, margen derecha								5.557861	-68.469472				grados minutos segundos	WGS84																															Lina Mesa	2017-04-02T00:00:00Z												Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			56dbf6cd-a106-4afb-9ba4-37f2f3c20acf	CO	2018-12-17T19:49:35.923Z	150.0	0.0					COORDINATE_ROUNDED		true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-12-17T19:49:35.889Z	2018-12-17T19:49:35.879Z	true
1949737101		Licença Creative Commons Atribuição Não Comercial (CC-BY-NC) 4.0.																								MPEG.ICT 037837										CC_BY_NC_4_0			2018-11-14T14:27:48Z								Museu Paraense Emílio Goeldi (MPEG)												MPEG	ICT			PRESERVED_SPECIMEN				MPEG.ICT 037837	MPEG.ICT 037837		Santos, Bruno										Alcool - 1					37837													2018-01-21T00:00:00Z				2018	1	21											Pará, Nova Ipixuna	SOUTH_AMERICA				BR	Pará	Nova Ipixuna		Rio Tocantins. 32,6 km a oeste de Nova Ipixuna																																																										Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			b0059a3a-5cab-4a08-8d14-d92c23378e43	BR	2018-12-13T17:28:42.234Z							COORDINATE_OUT_OF_RANGE		false	true	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-12-13T17:28:38.722Z	2018-12-13T17:28:38.662Z	true
1949736958		Licença Creative Commons Atribuição Não Comercial (CC-BY-NC) 4.0.																								MPEG.ICT 037849										CC_BY_NC_4_0			2018-11-14T14:40:55Z								Museu Paraense Emílio Goeldi (MPEG)												MPEG	ICT			PRESERVED_SPECIMEN				MPEG.ICT 037849	MPEG.ICT 037849		Santos, Bruno										Alcool - 1					37849													2017-09-09T00:00:00Z				2017	9	9											Pará, Nova Ipixuna	SOUTH_AMERICA				BR	Pará	Nova Ipixuna		Rio Tocantins. 32,6 km a oeste de Nova Ipixuna																																																										Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			b0059a3a-5cab-4a08-8d14-d92c23378e43	BR	2018-12-13T17:28:42.167Z							COORDINATE_OUT_OF_RANGE		false	true	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-12-13T17:28:38.728Z	2018-12-13T17:28:38.624Z	true
1944410663																										18387673										CC_BY_NC_4_0			2019-04-11T14:50:57Z			https://www.inaturalist.org/observations/18387673				© John D Reynolds some rights reserved	John D Reynolds												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/18387673	18387673		John D Reynolds																												2002-11-07T22:42:00Z	06:42:00Z			2002	11	7	2002/11/07 10:42 PM PST															BR	Mato Grosso				Feliz Natal - State of Mato Grosso, 78885-000, Brazil							-12.144103	-54.104565	2000.0																																39552781				2018-11-14T06:47:54Z				322822								Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-17T07:49:15.207Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2019-04-17T07:49:15.183Z	2019-05-20T15:18:36.671Z	false
1940626979													2015-04-24													KP772589										CC_BY_4_0			2018-06-27T00:00:00Z			http://www.ebi.ac.uk/ena/data/view/KP772589																					MATERIAL_SAMPLE				KP772589			Valeria Nogueira Machado, Emanuell Duarte Ribeiro, Rupert A. Collins													KP772589															2013-11-01T00:00:00Z				2013	11	1																BR				Brazil								-1.68	-57.48																																									221419								Phractocephalus hemioliopterus (Bloch & Schneider, 1801)							Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Siluriformes;Pimelodidae;Phractocephalus	Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			ad43e954-dd79-4986-ae34-9ccdbd8bf568	GB	2018-12-26T01:37:11.565Z							COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84		true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-11-19T16:30:30.322Z	2019-05-17T06:39:53.355Z	false
1936714477																										IAvH:CBB:VICHADA:TEJIDOS:ESPECIMENPRESERVADO:I2D-BIO_2017_065:719										CC_BY_NC_4_0																							Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)	Colección de tejidos del Instituto de Recursos Biológicos Alexander von Humboldt (IAvH-CT)			MATERIAL_SAMPLE			Muestras de tejido: Si	IAvH:CBB:VICHADA:TEJIDOS:ESPECIMENPRESERVADO:I2D-BIO_2017_065:719	Temp-ACV226	TP-74	Roamir Unda																								IAvH-ACV226												Playa	Calandrio	2017-04-02												CO	Vichada	Puerto Carreño		Río Tomo playa diagonal al campamento, margen derecha								5.557861	-68.469472																																				Lina Mesa	2017-04-02T00:00:00Z												Phractocephalus hemioliopterus (Bloch & Schneider, 1801)								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES				ACCEPTED			4ae715d1-e34b-4788-916e-f4360d078768	CO	2018-12-23T02:56:52.772Z	150.0	0.0					RECORDED_DATE_INVALID;COORDINATE_ROUNDED		true	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-12-18T16:14:13.197Z	2018-12-18T16:14:13.090Z	true
1934483314																										37834									en	CC_BY_4_0			2017-08-31T11:27:32Z			http://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a1_05&pkey=NSMT-P%2C79758%2C												text					NSMT	P			PRESERVED_SPECIMEN				349f6c4b-d652-4bda-9c71-62f84cd77b41	79758																																															unknown									unknown																																																										Phractocephalus hemioliopterus (Bloch & Schneider, 1801)							Animalia|Chordata|Siluriformes|Pimelodidae|Phractocephalus|hemioliopterus	Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemioliopterus		SPECIES		レッドテールキャット		ACCEPTED			84a1a7e0-f762-11e1-a439-00145eb45e9a	JP	2018-12-08T00:32:08.568Z									false	false	2338793	2338793	1	44	204	708	5163	2338455		2338793	Phractocephalus hemioliopterus	Phractocephalus	Phractocephalus hemioliopterus (Bloch & Schneider, 1801)		DWC_ARCHIVE	2018-11-06T06:41:17.679Z	2018-11-21T09:35:44.773Z	
1933392291		http://vertnet.org/resources/norms.html							9C0990F4-05D3-4C6B-A502-98354C05A7B2. http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts.																	9C0990F4-05D3-4C6B-A502-98354C05A7B2									en	CC0_1_0			2018-10-08T00:00:00Z			http://portal.vertnet.org/o/lacm/fish?id=9c0990f4-05d3-4c6b-a502-98354c05a7b2												PhysicalObject		http://biocol.org/urn:lsid:biocol:org:34802	http://biocol.org/urn:lsid:biocol:org:34804		LACM	Fish			PRESERVED_SPECIMEN				9C0990F4-05D3-4C6B-A502-98354C05A7B2	59227-1			10	10	individuals					NATIVE	present	otolith						Cal. Academy, Fitch Otolith Collection.																													Eastern Pacific | USA | California | San Francisco |  |  |  |	NORTH_AMERICA	North Pacific Ocean			US	California	San Francisco			Eastern Pacific | USA | California | San Francisco																																																									Phractocephalus hemiliopterus Lundberg, 1997								Animalia	Chordata	Actinopterygii	Siluriformes	Pimelodidae	Phractocephalus		hemiliopterus		SPECIES			ICZN	ACCEPTED			7a25f7aa-03fb-4322-aaeb-66719e1a9527	US	2018-12-09T06:05:57.745Z									false	false	9262137	9262137	1	44	204	708	5163	2338455		9262137	Phractocephalus hemiliopterus	Phractocephalus	Phractocephalus hemiliopterus Lundberg, 1997		DWC_ARCHIVE	2018-11-04T14:32:07.683Z	2018-11-04T14:32:07.668Z	true
