"genus"	"species"	"latitude"	"longitude"	"source"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.289181	-70.293757	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	5.557861	-68.469472	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	5.557861	-68.469472	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-12.144103	-54.104565	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.68	-57.48	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	5.557861	-68.469472	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	-12.54	-64.211667	"gbif"
"Phractocephalus"	"Phractocephalus hemiliopterus"	-12.54	-64.211667	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.60958	-71.67332	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	4.58578	-71.71414	"gbif"
