datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51144	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Venezuela	Apure	Achaguas	Apure	-68.7333333333333	7.91666666666667											1				"Especies de la pesca deportiva : Una guía de identificación y reglamentación de los peces de agua dulce en Venezuela BARBARINO DUQUE, Aniello;TAPHORN BAECHLE, Donald C."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51134	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	Leticia	"Leticia Río Amazonas"	-69.95	-4.15											1				"Biología pesquera de cinco especies de escama en el sector colombiano del río Amazonas MUÑOZ TORRES, Sandra E.;PINEDA ARGUELLO, Iveth Z."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51135	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Meta	"Puerto Concordia"	"Río Guayabero afluente Río Guaviare"	-72.7833333333333	2.6											1				"Nematognathous Fishes Collected during the Macarena Expedition 1959. Parte II DAHL, George"	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51136	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"Puerto Santander"	"Puerto Santander Río Caquetá"	-72.2666666666667	-0.614166666666667									M		3				"Estudio pesquero de los grandes bagres del Río Caquetá ARBOLEDA OCHOA, Ada L."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51137	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Caquetá	Solano	"Río Caquetá"	-73.9461111111111	0.3475											1				"Lista preliminar de los peces del Río Caquetá, Colombia CASTRO, Dario M.;ARBOLEDA OCHOA, Ada L."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51146	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Venezuela	Apure	"San Fernando"	"Río Apure afluente Río Orinoco"	-66.3994444444445	7.65											1				"Especies de la pesca deportiva : Una guía de identificación y reglamentación de los peces de agua dulce en Venezuela BARBARINO DUQUE, Aniello;TAPHORN BAECHLE, Donald C."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51145	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Venezuela	Apure	"Río Negro"	"Río Orinoco"	-67.1166666666667	7											1				"Especies de la pesca deportiva : Una guía de identificación y reglamentación de los peces de agua dulce en Venezuela BARBARINO DUQUE, Aniello;TAPHORN BAECHLE, Donald C."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51143	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia			"Cuenca Amazónica"	0	0											1				"Especies pesqueras colombianas de la cuenca amazónica"	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51142	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Venezuela	Apure	"San Fernando"	"Río Arauca afluente Río Orinoco"	-66.25	7.31666666666667											1				"Especies de la pesca deportiva : Una guía de identificación y reglamentación de los peces de agua dulce en Venezuela BARBARINO DUQUE, Aniello;TAPHORN BAECHLE, Donald C."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51129	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Putumayo	"Puerto Leguízamo"	"Río Putumayo"	-76	0.25											1				"Peces del río Putumayo sector de Puerto Leguízamo CASTRO, Dario M."	
