"genus"	"species"	"latitude"	"longitude"	"source"
"Pristobrycon"	""	6.611083	-70.530889	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-17.655786	-57.432597	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-0.524331	-76.436785	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-15.7	-47.12	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-2.718111	-70.528306	"gbif"
"Serrasalmus"	"Serrasalmus eigenmanni"	-3.193306	-70.899361	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	-12.46	-56.9	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-31.657408	-60.756478	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.839643	-73.387952	"gbif"
"Catoprion"	"Catoprion mento"	-5.300773	-73.89554	"gbif"
"Serrasalmus"	"Serrasalmus medinai"	4.830194	-71.664694	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	4.869222	-71.641	"gbif"
"Serrasalmus"	"Serrasalmus eigenmanni"	4.830194	-71.664694	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	4.869222	-71.641	"gbif"
"Serrasalmus"	"Serrasalmus irritans"	4.830194	-71.664694	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	4.830194	-71.664694	"gbif"
"Serrasalmus"	"Serrasalmus altuvei"	5.053978	-70.998308	"gbif"
"Serrasalmus"	""	5.053978	-70.998308	"gbif"
"Mylossoma"	"Mylossoma albiscopum"	6.176581	-69.129325	"gbif"
"Mylossoma"	""	6.176581	-69.129325	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.267663	-60.047117	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-19.376389	-57.050278	"gbif"
"Mylossoma"	"Mylossoma duriventre"	-19.549722	-56.533333	"gbif"
"Serrasalmus"	"Serrasalmus marginatus"	-19.376389	-57.050278	"gbif"
"Piaractus"	"Piaractus mesopotamicus"	-19.549722	-56.533333	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-20.208417	-56.495	"gbif"
"Myloplus"	"Myloplus levis"	-21.33889	-57.84583	"gbif"
"Serrasalmus"	"Serrasalmus marginatus"	-19.577778	-57.019722	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-19.577778	-57.019722	"gbif"
"Myleus"	""	-14.87583	-52.28472	"gbif"
"Myloplus"	"Myloplus tiete"	-19.462778	-52.548889	"gbif"
"Myloplus"	"Myloplus tiete"	-19.531111	-52.493611	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-19.531111	-52.493611	"gbif"
"Serrasalmus"	"Serrasalmus marginatus"	-19.462778	-52.548889	"gbif"
"Serrasalmus"	"Serrasalmus maculatus"	-19.462778	-52.548889	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	6.012532	-71.299201	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.267663	-60.047117	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	3.915383	-67.68342	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	4.16862	-67.78412	"gbif"
"Pygopristis"	"Pygopristis denticulata"	3.622099	-59.671809	"gbif"
"Catoprion"	"Catoprion mento"	3.622099	-59.671809	"gbif"
"Myloplus"	"Myloplus rubripinnis"	3.6	-56.2859	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	3.6	-56.2859	"gbif"
"Pygopristis"	"Pygopristis denticulata"	3.622099	-59.671809	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	3.6	-56.2859	"gbif"
"Metynnis"	"Metynnis hypsauchen"	3.622099	-59.671809	"gbif"
"Myleus"	""	3.6	-56.2859	"gbif"
"Pygocentrus"	"Pygocentrus piraya"	3.6	-56.2859	"gbif"
"Serrasalmus"	"Serrasalmus irritans"	5.577333	-68.492972	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	5.577333	-68.492972	"gbif"
"Tometes"	"Tometes ancylorhynchus"	-3.368056	-51.999806	"gbif"
"Tometes"	"Tometes kranponhah"	-3.367778	-51.999722	"gbif"
"Tometes"	"Tometes kranponhah"	-3.367778	-51.999722	"gbif"
"Serrasalmus"	""	2.245667	-73.762472	"gbif"
"Serrasalmus"	"Serrasalmus manueli"	2.245667	-73.762472	"gbif"
"Serrasalmus"	"Serrasalmus altuvei"	2.245667	-73.762472	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-3.271677	-60.042017	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-34.608106	-58.350922	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-3.43	-52.23	"gbif"
"Myloplus"	"Myloplus asterias"	-3.69	-59.95	"gbif"
"Pristobrycon"	"Pristobrycon striolatus"	-4.22	-55.89	"gbif"
"Myloplus"	""	-10.16	-59.45	"gbif"
"Myloplus"	"Myloplus lucienae"	0.39	-66.65	"gbif"
"Myloplus"	"Myloplus asterias"	-3.02	-49.74	"gbif"
"Metynnis"	"Metynnis cuiaba"	-19.58	-56.25	"gbif"
"Myloplus"	"Myloplus lucienae"	0.39	-66.65	"gbif"
"Myloplus"	"Myloplus rubripinnis"	-4.55	-56.29	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-1.44	-52.8	"gbif"
"Serrasalmus"	"Serrasalmus gibbus"	-5.36	-47.87	"gbif"
"Serrasalmus"	"Serrasalmus rhombeus"	-1.72	-69.14	"gbif"
"Pygocentrus"	"Pygocentrus cariba"	3.95	-67.93	"gbif"
"Pygocentrus"	"Pygocentrus nattereri"	-4.36	-70.21	"gbif"
