datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	193025	"Acnodon normani"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	normani			"M.H. Sabaj, 2012"						BR12-07	"M.H. Sabaj, M. Arce, L. Sousa and ornamental fishermen Dani & Edson"							Brazil	Pará		"rio Xingu, ca. 50 km south-southwest Altamira"	-52.391694	-3.655389										"seine, cast net, hand-picking [1 alc; 0 sk; 0 c&s]"	1	"ex. INPA"				ANSP193025
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	194703	"Acnodon normani"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	normani			"M.H. Sabaj, 2013"						iXIN13-EXP1-01	"M.H. Sabaj Pérez, L.M. Sousa, A. Gonçalves, N.K. Lujan, D.B. Fitzgerald, P. Madoka Ito, A. Oliveira, R. Robles & fishermen"							Brazil	Pará	Altamira	"rio Iriri, ca. 8 km upstream from confluence with rio Xingu, large sand beach along right bank at campsite 1 (largo do Sousa)."	-52.678567	-3.823467										"30 ft bag seine [1 alc; 0 sk; 0 c&s]"	1	"ex. INPA 39968"			"Location Remarks: iXingu Project Expedition 1 (NSF DEB-1257813): 7-8 seine pulls with 30 ft bag seine at night over large beach (camp #1, largo do Sousa)"	ANSP194703
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	198755	"Acnodon normani"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	normani			"M.H. Sabaj, 2015"						iXIN14-EXP3-24	"M.H. Sabaj Pérez, L.M. Sousa, A.P. Gonçalves, D.B. Fitzgerald, V. Machado, P.M. Ito, A. Oliveira, R. Oliveira, H. Gimênes Jr., A. Carvalho-Batista, M. Hardman, K. Winemiller & fishermen"							Brazil	Pará		"rio Xingu, large beach just upstream of campsite 2, ca. 45 km south-southwest of Altamira"	-52.349139	-3.6095										"36 ft bag seine [4 alc; 0 sk; 0 c&s]"	4	"ex. INPA"			"Location Remarks: outing 1, camp 2, night beach seine; mollusk collection site; iXingu Project (NSF DEB-1257813) Expedition 3, Outing 1."	ANSP198755
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	199545	"Acnodon normani"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	normani			"M.H. Sabaj, 2012"						BR12-03	"M.H. Sabaj, M. Arce, L. Sousa and ornamental fishermen Dani & Edson"							Brazil	Pará		"rio Xingu, sand beach in eastern braid of river, ca. 44 km south-southwest Altamira"	-52.349222	-3.608139										"bag seine, gill net [3 alc; 0 sk; 0 c&s]"	3	"ex. INPA 37968"			"Identif.Remarks: tissue samples: B1548 (ANSP voucher), B1549 (INPA voucher); 2 additional alc vouchered at INPA"	ANSP199545
"2015-09-01 11:42:24-03"	ANSP	ANSP-ICHTHYOLOGY	187112	"Acnodon oligacanthus"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	oligacanthus			"W.M. Dahdul, 2007"						"SUR 07-01"	"J. Lundberg, M. Sabaj, P. Willink, J. Mol et al."							Suriname	Sipalawini		"Lawa River (Marowijne Dr.), base camp ca. 8 km south-southwest of Anapaike/Kawemhakan (airstrip)."	-54.061485	3.347094							0	2		"[2 alc; 2 sk; 0 c&s]"	4				"Identif.Remarks: tissue samples: 6927 (skel, 145 mm SL), 6936 (alc), 6933 (alc); originally 5, 1 to FMNH (6935); tagged (no tissue) 6937 (skel, 125 mm SL) Georef.Remarks: Coordinates 8 km SW of Anapaike."	ANSP187112
"2015-09-01 11:42:24-03"	ANSP	ANSP-ICHTHYOLOGY	187331	"Acnodon oligacanthus"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	oligacanthus			"M.H. Sabaj, 2008"						"SUR 07-05"	"J. Lundberg, M. Sabaj, P. Willink, J. Mol et al"							Suriname	Sipalawini		"Litanie River at mouth and confluence with Marowini River, just upstream from settlement of Konya Kondre."	-54.071007	3.296066							0	2		"[1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: originally 2, 1 to FMNH. Georef.Remarks: Coordinates at junction of Marowini and Litanie Rivers."	ANSP187331
"2015-09-01 11:42:24-03"	ANSP	ANSP-ICHTHYOLOGY	188674	"Acnodon oligacanthus"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Acnodon	oligacanthus			"M.H. Sabaj, 2009"						"SUR 07-06"	"M. Sabaj, P. Willink, J. Mol, K. Wan Tong You"							Suriname	Sipalawini		"Lawa River (Marowijne Dr.), large cataract complex in side channel west of base camp (SUR 07-01), ca. 8km SSW Anapaike."	-54.061485	3.347094							0	2		"seines [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: seined at dusk and after dark on 4/24/2007. Georef.Remarks: Coordinates 8 km SW of Anapaike."	ANSP188674
"2015-09-01 11:42:24-03"	ANSP	ANSP-ICHTHYOLOGY	198245	Catoprion	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Catoprion				"M.H. Sabaj, 2015"						iXIN14-EXP3-51	"M.H. Sabaj Pérez, L.M. Sousa, A.P. Gonçalves, D.B. Fitzgerald, R. Ota, I. Soares, M. Santos, H. Gimênes Jr., J. Tiemann, K.S. Cummings, M.C. Dreher Mansur, L. Rapp Py-Daniel, J.G. Lundberg & fishermen"							Brazil	Pará		"blackwater igarapé at confluence with rio Xingu (right bank), campsite 5, ca. 3.5 km southeast of Porto do Moz"	-52.215722	-1.774889										"dip nets, gill net [1 alc; 0 sk; 0 c&s]"	1	"ex. INPA"			"Identif.Remarks: tissue samples: t3836 (ANSP voucher); t3842 (INPA voucher) Location Remarks: igarapé at camp 5; iXingu Project (NSF DEB-1257813) Expedition 3, Outing 3."	ANSP198245
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	134003	"Catoprion mento"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Catoprion	mento			"W.G. Saul, 1975"						NRF66-V-7	"N. R. Foster"							Venezuela	Guarico		"Tributary to Rio Guariquito, 24 km SSE of Calabozo on road to Cazorla."	-67.311265	8.72836										"[1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: Flat, grassy semi-flooded area in llanos; water clear; bottom detritus or gravel; plants. See FN."	ANSP134003
"2015-09-01 10:34:47-03"	ANSP	ANSP-ICHTHYOLOGY	134004	"Catoprion mento"	S	Animalia	Chordata	Actinopteri	Characiformes	Serrasalmidae	Catoprion	mento			"W.G. Saul, 1975"						BF-16	"J. E. Bohlke et al*"	1969	05	27				Colombia	Meta		"Canal and Laguna 'Aerotas', S side of Rio Metica, 2 km SW (upstream) of entrance to Lake Mozambique."	-73.065367	3.932033										"20-ft bag seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: *N.Foster, D.Luis, Black John & brother. Afternoon. bottom rock, sand, mud; water clear, murky; vegetation. See FN. Georef.Remarks: The locality is not identified with this name on the maps but correspond to the description in the text."	ANSP134004
